"","ServiceAddressStreetNumber","ServiceAddressStreetName","PREMISESALESCLASSDESC","Sales Class","Active/Inactive","SW StatusCode","Status Code","BILLABLEIMPERVIOUSACRES","PARCELSIZE","IMPERVIOUSSIZE","ACCOUNTTAXTYPE","Tax Description","Customer Class","BILLINGCYCLENUMBER","PREMISECYCLENUMBER","Bunch Code","SW Last Billing Date","SW Last Amount Billed","SW Last Paid Date","SW Final Shut Off Date","WA Last Billing Date","WA Last Amount Billed","WA Last Paid Date","WA Final Shut Off Date","WA ActiveCode","WA ActiveCodeDesc","WA StatusCode","WA StatusDescription","WALANDLORDCODE","WAONWERTENANTFLAG","S-Current","S-30-60","S-60+","W-Current","W-30-60","W-60+","T-Current","T-30-60","T-60+","Total","61+ Days >150","61+ Days <150","Zero balance","Meter (Yes/No)","Status Code2","Breakdown","New Sales Class","Address"
"1","3500","ROSA PARKS BLVD","CITY COMMERCIAL","COMMERCIAL","Active",60,"COLLECTION-INT",0,0,0,10,"APARTMENT BUILDING","COMMERCIAL",9,9,NA,5102021,433.56,6012021,0,5102021,244.22,6012021,0,0,NA,60,NA,0,"O",433.56,0,2465.86,244.22,0,1430.19,677.78,0,3896.05,4573.83,1,0,1,"YES","COLLECTION-INT","C $1000+","COMMERCIAL","3500 ROSA PARKS BLVD"
"2","17200","BENTLER ST","CITY COMMERCIAL","COMMERCIAL","Active",60,"COLLECTION-INT",1.81,3.247,1.81,42,"STORM ONLY COMMERCIAL","DRAINAGE",27,27,NA,5192021,1133.06,5122021,0,5192021,0,0,0,0,NA,60,NA,0,"O",1133.06,0,2542.41,0,0,0,1133.06,0,2542.41,3675.47,1,0,1,"NO","COLLECTION-INT","C $1000+","DRAINAGE","17200 BENTLER ST"
"3","20500","JAMES COUZENS FWY","CITY COMMERCIAL","COMMERCIAL","Active",80,"STORM ONLY",0.32,0.597,0.32,42,"STORM ONLY COMMERCIAL","DRAINAGE",933,21,NA,5132021,200.32,5252021,0,5132021,0,0,0,0,NA,80,NA,0,"O",0,0,2810.74,0,0,0,0,0,2810.74,2810.74,1,0,1,"NO","OTHER","C $1000+","DRAINAGE","20500 JAMES COUZENS FWY"
"4","16100","W MCNICHOLS RD","CITY COMMERCIAL","COMMERCIAL","Active",80,"STORM ONLY",0.19,0.195,0.19,42,"STORM ONLY COMMERCIAL","DRAINAGE",933,24,NA,5172021,118.94,5192021,0,5172021,0,0,0,0,NA,80,NA,0,"O",118.94,118.94,1751,0,0,0,118.94,118.94,1751,1988.88,1,0,1,"NO","OTHER","C $1000+","DRAINAGE","16100 W MCNICHOLS RD"
"5","23700","FENKELL ST","CITY COMMERCIAL","COMMERCIAL","Active",80,"STORM ONLY",1.76,2.339,1.76,42,"STORM ONLY COMMERCIAL","DRAINAGE",2,2,NA,5252021,1101.76,6012021,0,5252021,0,0,0,0,NA,80,NA,0,"O",1101.76,0,527.28,0,0,0,1101.76,0,527.28,1629.04,1,0,1,"NO","OTHER","B $500-$1000","DRAINAGE","23700 FENKELL ST"
"6","14300","TIREMAN ST","CITY INDUSTRIAL","INDUSTRIAL","Active",0,"NORMAL",3.01,3.087,3.01,41,"STORM ONLY INDUSTRIAL","DRAINAGE",2,2,NA,5252021,1884.26,5292021,0,5252021,0,0,0,0,NA,0,NA,0,NA,0,0,8306.42,0,0,0,0,0,8306.42,8306.42,1,0,1,"NO","NORMAL","C $1000+","DRAINAGE","14300 TIREMAN ST"
"7","11700","FREUD ST","CITY INDUSTRIAL","INDUSTRIAL","Active",0,"NORMAL",4.32,4.537,4.32,41,"STORM ONLY INDUSTRIAL","DRAINAGE",64,64,NA,5212021,2704.32,5142021,0,5212021,0,12292020,0,0,NA,0,NA,0,"O",2704.32,0,27651.19,0,0,0,2704.32,0,27651.19,30355.51,1,0,1,"NO","NORMAL","C $1000+","DRAINAGE","11700 FREUD ST"
"8","4800","TRENTON ST","CITY COMMERCIAL","COMMERCIAL","Active",60,"COLLECTION-INT",2.75,3.76729,2.75,42,"STORM ONLY COMMERCIAL","DRAINAGE",60,60,NA,5262021,1721.5,5132021,0,5262021,0,0,0,0,NA,60,NA,0,"O",1721.5,0,53595.61,0,0,0,1721.5,0,53595.61,55317.11,1,0,1,"NO","COLLECTION-INT","C $1000+","DRAINAGE","4800 TRENTON ST"
"9","3100","LONYO ST","CITY INDUSTRIAL","INDUSTRIAL","Active",0,"NORMAL",11.86,13.958,11.86,41,"STORM ONLY INDUSTRIAL","DRAINAGE",37,37,NA,5212021,7424.36,5062021,0,5212021,0,0,0,0,NA,0,NA,0,"O",7424.36,0,0,0,0,0,7424.36,0,0,7424.36,0,0,1,"NO","NORMAL","Other","DRAINAGE","3100 LONYO ST"
"10","2000","BEARD ST","CITY INDUSTRIAL","INDUSTRIAL","Active",80,"STORM ONLY",2.27,2.276,2.27,41,"STORM ONLY INDUSTRIAL","DRAINAGE",36,36,NA,5212021,1421.02,5092021,0,5212021,0,0,0,0,NA,80,NA,0,"O",1421.02,0,18105.65,0,0,0,1421.02,0,18105.65,19526.67,1,0,1,"NO","OTHER","C $1000+","DRAINAGE","2000 BEARD ST"
"11","19300","LIVERNOIS AVE","CITY COMMERCIAL","COMMERCIAL","Active",0,"NORMAL",0.26,0.268,0.26,42,"STORM ONLY COMMERCIAL","DRAINAGE",20,20,NA,5132021,162.76,5272021,0,5132021,0,0,0,0,NA,0,NA,0,"O",0,0,411.9,0,0,0,0,0,411.9,411.9,1,0,1,"NO","NORMAL","A $150-$500","DRAINAGE","19300 LIVERNOIS AVE"
